Date,HomeTeam,AwayTeam,Home_Rk,Home_Pts_MP,Home_GD,Home_H_Pts_MP,Home_Gls,Home_GA,Away_Rk,Away_Pts_MP,Away_GD,Away_A_Pts_MP,Away_Gls,Away_GA,Home_SoT_MP,Away_SoT_MP,Home_SoT_Conceded_MP,Away_SoT_Conceded_MP,Home_Corners_MP,Away_Corners_MP,Home_Cards_MP,Away_Cards_MP,Home_Conversion,Away_Conversion,Home_Strength,Away_Strength,Strength_Diff,Rank_Gap,Strength_Ratio,Is_Close_Match,Home_Form_Pts,Home_Form_GF,Home_Form_GA,Home_Form_SoT,Home_Form_SoT_C,Away_Form_Pts,Away_Form_GF,Away_Form_GA,Away_Form_SoT,Away_Form_SoT_C,Form_Diff,Result
2021-09-11,Levante,Vallecano,13,0.6666666666666666,-0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,10,1.0,0.0,0.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,3.3333333333333335,3.0,6.333333333333333,3.3333333333333335,3.0,3.3333333333333335,2.0,0.5714285714285714,0.4,0.5,0.7666666666666666,-0.2666666666666666,-3,0.6521739130434783,0,2,4,5,7,9,3,4,4,10,19,-1,D
2021-09-11,Ath Bilbao,Mallorca,9,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,6,2.3333333333333335,0.6666666666666666,3.0,1.0,0.3333333333333333,4.0,3.3333333333333335,1.6666666666666667,2.6666666666666665,8.333333333333334,5.0,1.3333333333333333,2.6666666666666665,0.16666666666666666,0.3,1.0666666666666667,1.5666666666666667,-0.5,-3,0.6808510638297872,0,5,2,1,12,5,7,3,1,10,8,-2,H
2021-09-12,Espanol,Ath Madrid,16,0.6666666666666666,-0.3333333333333333,1.0,0.0,0.3333333333333333,6,2.3333333333333335,0.6666666666666666,3.0,1.6666666666666667,1.0,3.0,4.333333333333333,3.0,2.0,5.666666666666667,7.666666666666667,3.3333333333333335,4.0,0.0,0.38461538461538464,0.23333333333333334,1.7000000000000002,-1.4666666666666668,-10,0.1372549019607843,0,2,0,1,9,9,7,5,3,13,6,-5,A
2021-09-12,Osasuna,Valencia,9,1.6666666666666667,0.3333333333333333,1.0,1.0,0.6666666666666666,4,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,4.0,4.333333333333333,2.0,3.0,5.333333333333333,3.6666666666666665,2.3333333333333335,3.3333333333333335,0.25,0.38461538461538464,1.1333333333333333,1.9,-0.7666666666666666,-5,0.5964912280701754,0,5,3,2,12,6,7,5,1,13,9,-2,A
2021-09-12,Cadiz,Sociedad,13,0.6666666666666666,-0.3333333333333333,0.5,1.3333333333333333,1.6666666666666667,8,2.0,0.0,0.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,4.333333333333333,4.666666666666667,3.0,3.6666666666666665,3.3333333333333335,1.6666666666666667,2.6666666666666665,0.5,0.3076923076923077,0.5,1.2666666666666666,-0.7666666666666666,-5,0.39473684210526316,0,2,4,5,8,14,6,4,4,13,9,-4,A
2021-09-12,Real Madrid,Celta,5,2.3333333333333335,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,18,0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,1.0,5.0,0.6666666666666666,4.666666666666667,4.333333333333333,5.666666666666667,3.0,2.3333333333333335,3.3333333333333335,0.5333333333333333,0.5,2.1,0.03333333333333334,2.066666666666667,13,21.0,0,7,8,4,15,14,1,1,3,2,13,6,H
2021-09-13,Getafe,Elche,25,0.0,-1.0,0.0,0.3333333333333333,1.3333333333333333,14,0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,2.6666666666666665,2.6666666666666665,4.0,5.333333333333333,4.0,2.3333333333333335,2.0,0.14285714285714285,0.125,-0.23333333333333334,0.3,-0.5333333333333333,-11,-0.7777777777777778,0,0,1,4,7,8,2,1,2,8,12,-2,A
2021-09-13,Granada,Betis,17,0.6666666666666666,-1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,14,0.6666666666666666,-0.3333333333333333,1.0,0.6666666666666666,1.0,2.0,4.666666666666667,5.666666666666667,2.6666666666666665,3.3333333333333335,3.3333333333333335,3.0,4.0,0.16666666666666666,0.14285714285714285,1.3877787807814457e-17,0.3666666666666667,-0.3666666666666667,-3,3.7848512203130334e-17,0,2,1,5,6,17,2,2,3,14,8,0,A
2021-09-17,Celta,Cadiz,18,0.25,-1.25,0.0,0.75,2.0,16,0.5,-0.75,1.0,1.0,1.75,1.5,2.25,6.0,4.5,3.0,3.25,3.25,2.5,0.5,0.4444444444444444,-0.09999999999999998,0.22500000000000003,-0.325,-2,-0.44444444444444425,0,1,3,8,6,24,2,4,7,9,18,-1,A
2021-09-18,Vallecano,Getafe,13,1.0,0.0,3.0,1.25,1.25,25,0.0,-1.0,0.0,0.25,1.25,4.0,2.0,5.25,2.75,3.5,6.0,2.5,2.25,0.3125,0.125,0.75,-0.25,1.0,12,7.5,0,4,5,5,16,21,0,1,5,8,11,4,H
2021-09-18,Ath Madrid,Ath Bilbao,3,2.5,0.75,2.0,1.75,1.0,5,2.0,0.75,2.0,1.0,0.25,4.0,4.25,2.25,1.5,6.5,8.0,4.0,1.25,0.4375,0.23529411764705882,1.8250000000000002,1.425,0.40000000000000013,2,1.280701754385965,0,10,7,4,16,9,8,4,1,17,6,2,D
2021-09-18,Elche,Levante,11,1.25,0.0,1.0,0.5,0.5,15,0.75,-0.25,0.5,1.25,1.5,2.75,2.25,3.25,3.75,3.5,3.0,2.25,3.25,0.18181818181818182,0.5555555555555556,0.725,0.55,0.17499999999999993,4,1.3181818181818181,1,5,2,2,11,13,3,5,6,9,15,2,D
2021-09-18,Alaves,Osasuna,25,0.0,-2.3333333333333335,0.0,0.3333333333333333,2.6666666666666665,13,1.25,-0.5,3.0,1.0,1.5,3.6666666666666665,3.5,4.333333333333333,2.5,1.6666666666666667,5.0,3.0,2.75,0.09090909090909091,0.2857142857142857,-0.6333333333333334,0.675,-1.3083333333333336,-12,-0.9382716049382717,0,0,1,8,11,13,5,4,6,14,10,-5,A
2021-09-19,Mallorca,Villarreal,10,1.75,0.0,2.0,0.75,0.75,15,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,2.75,2.6666666666666665,3.25,3.0,4.25,4.333333333333333,2.5,4.0,0.2727272727272727,0.25,1.025,0.6333333333333333,0.3916666666666666,5,1.618421052631579,0,7,3,3,11,13,3,2,2,8,9,4,D
2021-09-19,Sociedad,Sevilla,5,2.25,0.5,3.0,1.5,1.0,8,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,4.25,5.333333333333333,2.5,2.3333333333333335,4.5,3.6666666666666665,2.0,1.0,0.35294117647058826,0.3125,1.575,1.9,-0.32499999999999996,3,0.8289473684210527,0,9,6,4,17,10,7,5,1,16,7,2,D
2021-09-19,Betis,Espanol,12,1.25,0.0,0.5,1.0,1.0,16,0.5,-0.5,0.5,0.25,0.75,5.75,3.0,2.5,3.0,4.5,5.75,3.5,2.75,0.17391304347826086,0.08333333333333333,0.825,0.15000000000000002,0.6749999999999999,4,5.499999999999999,0,5,4,4,23,10,2,1,3,12,12,3,D
2021-09-19,Valencia,Real Madrid,3,2.5,1.75,3.0,2.25,0.5,2,2.5,1.75,2.3333333333333335,3.25,1.5,4.25,6.5,2.75,4.5,3.75,6.0,3.0,2.25,0.5294117647058824,0.5,2.225,2.425,-0.19999999999999973,-1,0.9175257731958764,1,10,9,2,17,11,10,13,6,26,18,0,A
2021-09-20,Barcelona,Granada,10,2.3333333333333335,1.0,3.0,2.3333333333333335,1.3333333333333333,17,0.5,-1.25,0.5,0.5,1.75,4.666666666666667,2.0,4.333333333333333,6.5,3.3333333333333335,4.0,2.6666666666666665,2.5,0.5,0.25,1.9333333333333336,-0.024999999999999994,1.9583333333333335,7,19.333333333333336,0,7,7,4,14,13,2,2,7,8,26,5,D
2021-09-21,Getafe,Ath Madrid,25,0.0,-1.4,0.0,0.2,1.6,2,2.2,0.6,3.0,1.4,0.8,2.2,3.6,3.2,1.8,5.4,6.2,3.2,4.6,0.09090909090909091,0.3888888888888889,-0.38,1.56,-1.94,-23,-0.24358974358974358,0,0,1,8,11,16,11,7,4,18,9,-11,A
2021-09-21,Ath Bilbao,Vallecano,5,1.8,0.6,2.0,0.8,0.2,10,1.4,0.6,0.3333333333333333,1.6,1.0,3.4,4.2,1.6,4.8,7.4,3.8,1.4,3.2,0.23529411764705882,0.38095238095238093,1.2400000000000002,1.2,0.04000000000000026,5,1.0333333333333337,1,9,4,1,17,8,7,8,5,21,24,2,A
2021-09-21,Levante,Celta,15,0.8,-0.2,1.0,1.2,1.4,18,0.2,-1.2,0.5,0.8,2.0,3.0,2.0,3.4,5.4,3.8,3.8,3.0,3.2,0.4,0.4,0.5800000000000001,-0.09999999999999998,0.68,3,5.800000000000001,0,4,6,7,15,17,1,4,10,10,27,3,A
2021-09-22,Real Madrid,Mallorca,2,2.6,1.6,3.0,3.0,1.4,10,1.6,0.0,1.5,0.6,0.6,7.2,2.4,4.4,3.2,5.8,4.0,2.8,2.4,0.4166666666666667,0.25,2.38,0.92,1.46,8,2.5869565217391304,0,13,15,7,36,22,8,3,3,12,16,5,H
2021-09-22,Villarreal,Elche,14,1.0,0.0,1.0,0.5,0.5,12,1.2,0.0,1.5,0.6,0.6,2.75,2.6,2.5,3.8,3.5,3.6,3.75,2.2,0.18181818181818182,0.23076923076923078,0.6,0.72,-0.12,-2,0.8333333333333334,1,4,2,2,11,10,6,3,3,13,19,-2,H
2021-09-22,Espanol,Alaves,17,0.6,-0.4,0.5,0.6,1.0,26,0.0,-2.25,0.0,0.25,2.5,3.2,3.5,4.2,4.5,5.4,1.75,3.0,3.25,0.1875,0.07142857142857142,0.3,-0.6249999999999999,0.9249999999999998,9,2.9999999999999996,0,3,3,5,16,21,0,1,10,14,18,3,H
2021-09-22,Sevilla,Valencia,7,2.0,1.0,3.0,1.25,0.25,3,2.0,1.2,2.0,2.0,0.8,5.0,4.2,2.75,4.2,4.25,3.4,1.5,2.6,0.25,0.47619047619047616,1.55,1.7599999999999998,-0.20999999999999974,-4,0.8806818181818183,1,8,5,1,20,11,10,10,4,21,21,-2,H
